ProbeSetID,FrequenciaTop50,MeanEvidenceScore,MaxEvidenceScore,MaxAbsAlpha,MaxAbsDeltaMean_Log2,MinFDR_Welch,MaxAUC_Separation
1418722_at,5,3.04594369173132,3.4161299513084,0.0471594787803577,6.110576,0.000567627142643686,1
1425451_s_at,5,3.02649068420471,3.32744513378119,0.0475752630890659,5.104548,0.000771688807212901,1
1419764_at,5,2.99336177220354,3.22483718056664,0.0553962786095261,5.117414,0.00101374012371884,1
1419709_at,4,3.08118564611726,3.87209896790516,0.0808176309338211,4.963276,0.00372194110592869,1
1450009_at,4,3.37637042091415,3.64373631159733,0.0792843216532785,5.230872,0.00101374012371884,1
1434046_at,4,2.86046207865271,3.06080482953228,0.0290414069824367,5.44256,0.00107501882875574,1
1419647_a_at,4,2.74259721408911,2.95949614329225,0.0216881331214781,3.595256,0.00172854624368244,1
1427747_a_at,3,3.15883582039629,3.84284951250989,0.0363341052664707,6.496268,0.000567627142643686,1
1421262_at,3,3.31615615046174,3.70449418135136,0.0458831227794536,7.766754,0.00489316439821387,1
1434758_at,3,3.12772817222314,3.5673877493278,0.0375410392683356,4.471148,0.00268759883086185,1
1419532_at,3,3.23570973687482,3.48458849968518,0.0396485383718193,4.98612,0.00120860668553977,1
1419691_at,3,3.03946569858176,3.45739818681545,0.0607490257194774,2.569546,0.0886291946979077,1
1435761_at,3,3.01083753856016,3.39148883323009,0.0503491308944054,4.33723,0.00162805323269984,1
1435906_x_at,3,2.93965046173034,3.36122751093673,0.0473583394514379,3.72535,0.122823711364133,1
1437056_x_at,3,2.98704185188678,3.3396298456995,0.0360371549096044,4.065454,0.00258262423974465,1
1418240_at,3,2.87044185907056,3.30447004556201,0.0427280860034595,3.5413,0.126927530094783,1
1427381_at,3,3.00628711227388,3.30279885712901,0.0406494408356683,4.691288,0.0155339855107535,1
1437060_at,3,3.0308334704952,3.26187974099336,0.0341662581648361,5.286456,0.00101374012371884,1
1436530_at,3,2.77012101898932,2.93662542359061,0.0493288230617742,4.924984,0.00597157438965772,1
1433428_x_at,3,2.67227596762626,2.86977442295391,0.0258003349521921,3.546292,0.000772322691342148,1
1455900_x_at,3,2.63339689436319,2.85991673370688,0.0251448064670352,3.395098,0.000693408302928648,1
1417290_at,3,2.56007348099342,2.85876414087305,0.0324417456473958,4.928486,0.00101374012371884,1
1424509_at,3,2.80443614801573,2.8516509755477,0.0288382705467731,4.91313,0.00259628444069916,1
1437277_x_at,3,2.63688232892503,2.81143857274571,0.0241819711919061,3.5178,0.000772322691342148,1
1425643_at,3,2.67355449502178,2.77998085136678,0.0291293485667514,1.56364,0.448834175024012,0.96
1453181_x_at,3,2.51461196515621,2.72537666817344,0.0206280356491274,3.858058,0.00145200860772536,1
1416309_at,3,2.65093242855978,2.70862350659554,0.0271503874412199,1.180044,0.447667132791116,1
1429527_a_at,3,2.48952267243504,2.70037630105154,0.0231527009239496,3.844282,0.0026686074915935,1
1449366_at,2,3.32993495812456,4,0.0388382054398964,4.708248,0.000510543978501366,1
1418930_at,2,3.58887235926262,3.68688829134907,0.0582617316821904,2.266488,0.477838727911089,1
1434484_at,2,3.01019718458428,3.38230588538743,0.0274525651685108,4.97852,0.000820112142084591,1
1449434_at,2,3.22156545449011,3.36288825114092,0.0557533956595867,1.57911,0.635469503438866,1
1450188_s_at,2,3.21242660556692,3.2941981251495,0.0376621021659567,6.461784,0.00827977398370044,1
1438676_at,2,3.01322281821638,3.28751224353565,0.0431433622193692,1.76835,0.477268653133921,1
1422953_at,2,2.93571395702429,3.24312472938125,0.0252052222509187,3.99556,0.000820112142084591,1
1425814_a_at,2,3.13023252091785,3.17900473957919,0.0322777345467204,1.92447,0.452339798067067,1
1424831_at,2,3.00870587310159,3.15327145442306,0.0276696537307986,3.044036,0.00283163346247475,1
1420549_at,2,2.71935919611285,3.15007963650494,0.0389059607926029,3.534588,0.13223895419123,1
1416125_at,2,3.00624485117171,3.13523311629672,0.0381755858630311,2.60648,0.00373662691479075,1
1446715_at,2,2.65866843329852,3.06018423297666,0.0501019043670919,3.113582,0.119220622333814,1
1415682_at,2,2.79124386941566,3.04116236433657,0.030913779316476,1.306574,0.447667132791116,1
1460458_at,2,3.03804527086875,3.03880354450628,0.0331287272143683,2.742786,0.00163221988787908,1
